,Cell_Type_Control
0,8
1,4
2,4
3,4
4,1
5,1
6,1
7,1
8,8
9,4
10,4
11,1
12,4
13,8
14,1
15,1
16,4
17,4
18,1
19,1
20,4
21,11
22,5
23,1
24,4
25,1
26,5
27,5
28,4
29,5
30,4
31,1
32,1
33,1
34,5
35,5
36,1
37,8
38,8
39,4
40,1
41,11
42,1
43,1
44,1
45,1
46,1
47,4
48,5
49,8
50,1
51,5
52,8
53,8
54,1
55,5
56,5
57,1
58,8
59,4
60,4
61,5
62,4
63,4
64,4
65,1
66,1
67,1
68,1
69,4
70,8
71,4
72,4
73,1
74,11
75,1
76,1
77,1
78,4
79,5
80,1
81,5
82,8
83,1
84,1
85,5
86,4
87,1
88,4
89,1
90,4
91,5
92,4
93,1
94,1
95,1
96,5
97,1
98,4
99,1
100,8
101,1
102,5
103,4
104,1
105,1
106,8
107,4
108,5
109,4
110,5
111,1
112,1
113,1
114,1
115,5
116,14
117,8
118,1
119,1
120,1
121,4
122,1
123,4
124,11
125,1
126,11
127,5
128,8
129,1
130,4
131,1
132,4
133,4
134,4
135,1
136,1
137,5
138,5
139,8
140,5
141,1
142,1
143,4
144,11
145,11
146,4
147,1
148,5
149,1
150,1
151,1
152,4
153,8
154,1
155,1
156,1
157,1
158,4
159,1
160,1
161,4
162,4
163,5
164,1
165,5
166,1
167,4
168,4
169,11
170,5
171,5
172,8
173,4
174,5
175,1
176,8
177,5
178,1
179,1
180,11
181,1
182,5
183,1
184,5
185,11
186,5
187,4
188,5
189,5
190,4
191,1
192,4
193,5
194,4
195,1
196,1
197,1
198,8
199,4
200,4
201,4
202,5
203,1
204,8
205,4
206,1
207,1
208,1
209,1
210,1
211,8
212,8
213,1
214,1
215,5
216,4
217,4
218,4
219,4
220,8
221,8
222,1
223,1
224,1
225,4
226,8
227,1
228,1
229,1
230,5
231,1
232,5
233,1
234,4
235,1
236,1
237,4
238,5
239,1
240,4
241,11
242,4
243,5
244,1
245,1
246,4
247,11
248,5
249,8
250,1
251,4
252,4
253,5
254,1
255,4
256,8
257,1
258,11
259,1
260,1
261,5
262,8
263,8
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,4
272,4
273,5
274,1
275,1
276,5
277,1
278,11
279,1
280,11
281,4
282,4
283,5
284,1
285,11
286,5
287,14
288,11
289,5
290,1
291,4
292,4
293,1
294,1
295,8
296,11
297,8
298,1
299,8
300,11
301,4
302,1
303,4
304,1
305,4
306,4
307,1
308,1
309,1
310,1
311,1
312,11
313,1
314,5
315,4
316,5
317,1
318,4
319,4
320,1
321,1
322,1
323,4
324,4
325,8
326,1
327,1
328,5
329,1
330,4
331,1
332,4
333,5
334,1
335,14
336,1
337,4
338,8
339,5
340,8
341,11
342,1
343,1
344,8
345,1
346,5
347,8
348,1
349,4
350,4
351,1
352,1
353,4
354,4
355,1
356,5
357,1
358,4
359,11
360,4
361,11
362,5
363,5
364,1
365,5
366,4
367,4
368,1
369,5
370,4
371,8
372,4
373,1
374,1
375,5
376,4
377,4
378,1
379,1
380,1
381,1
382,5
383,1
384,1
385,1
386,5
387,4
388,1
389,1
390,4
391,8
392,5
393,1
394,8
395,4
396,1
397,8
398,11
399,1
400,1
401,1
402,1
403,5
404,4
405,1
406,5
407,1
408,1
409,8
410,1
411,1
412,1
413,1
414,4
415,4
416,4
417,1
418,1
419,1
420,1
421,1
422,8
423,11
424,1
425,4
426,1
427,1
428,1
429,1
430,1
431,4
432,1
433,4
434,4
435,1
436,4
437,8
438,1
439,5
440,5
441,1
442,4
443,1
444,4
445,4
446,4
447,5
448,8
449,5
450,1
451,6
452,6
453,10
454,12
455,13
456,12
457,13
458,12
459,12
460,12
461,13
462,13
463,6
464,12
465,7
466,1
467,1
468,6
469,10
470,8
471,12
472,13
473,10
474,12
475,6
476,2
477,1
478,10
479,13
480,1
481,12
482,12
483,6
484,12
485,10
486,12
487,12
488,13
489,6
490,1
491,8
492,10
493,1
494,6
495,12
496,13
497,3
498,9
499,13
500,12
501,3
502,12
503,1
504,5
505,13
506,6
507,13
508,12
509,4
510,4
511,1
512,10
513,9
514,12
515,6
516,12
517,6
518,1
519,13
520,6
521,1
522,4
523,2
524,1
525,13
526,12
527,2
528,6
529,1
530,10
531,12
532,12
533,12
534,12
535,6
536,10
537,6
538,5
539,4
540,6
541,12
542,8
543,12
544,13
545,12
546,10
547,3
548,6
549,6
550,12
551,13
552,12
553,12
554,1
555,6
556,10
557,12
558,10
559,8
560,13
561,1
562,12
563,6
564,13
565,12
566,1
567,10
568,13
569,6
570,10
571,6
572,6
573,6
574,6
575,12
576,10
577,1
578,8
579,3
580,12
581,12
582,12
583,12
584,1
585,2
586,2
587,6
588,6
589,11
590,12
591,10
592,11
593,12
594,12
595,12
596,12
597,12
598,6
599,6
600,13
601,1
602,6
603,2
604,12
605,12
606,2
607,12
608,2
609,12
610,1
611,6
612,3
613,3
614,6
615,8
616,12
617,6
618,1
619,13
620,6
621,10
622,10
623,13
624,12
625,12
626,6
627,6
628,1
629,8
630,10
631,14
632,12
633,8
634,6
635,12
636,3
637,2
638,12
639,6
640,12
641,4
642,12
643,12
644,10
645,6
646,1
647,6
648,6
649,11
650,13
651,12
652,12
653,12
654,3
655,1
656,1
657,13
658,12
659,13
